Desa,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Latitude,Longitude
Nangerang,1801,1957,2058,2057,2317,2086,2086,2044,2097,2144,2144,2092,-6.6971,107.5357
Simpang,1905,1897,1953,1943,1897,1896,1896,1925,1891,2020,2020,1934,-6.6828,107.5402
Sakambang,1401,1596,1630,1641,1583,1583,1583,1498,1592,1567,1570,1496,-6.711,107.5402
Nagrog,3342,2343,2353,2542,2524,2417,2417,2415,2429,2580,2580,2412,-6.7132,107.552
Cibuntu,1427,1444,1469,1524,1574,1574,1574,1571,1622,1642,1640,1605,-6.7079,107.555
Sumurugul,1596,1640,1685,1648,1749,1725,1725,1719,1710,1676,1680,1774,-6.7077,107.5609
Raharja,1269,1347,1354,1414,1419,1384,1384,1440,1469,1500,1500,1475,-6.6812,107.5476
Wanayasa,5003,5386,5399,5533,5705,5217,5217,5191,5204,5573,5570,5486,-6.6882,107.5712
Babakan,3279,3831,3847,3876,3875,3860,3860,3496,3853,3726,3730,3646,-6.6755,107.5653
Wanasari,3281,3053,3281,3789,3792,3789,3789,3431,3684,3673,3670,3454,-6.6696,107.549
Legokhuni,2204,2516,2796,2887,2895,2958,2958,2621,2553,2771,2770,3564,-6.6509,107.5357
Ciawi,2557,2913,2911,2981,2969,2967,2967,2909,3122,3064,3060,2997,-6.6501,107.5224
Sukadami,3199,3117,3450,3547,3581,3616,3616,3461,3569,3733,3730,3533,-6.6424,107.5224
Taringgul Tonggoh,3211,3442,3491,3483,3567,3617,3617,3520,3731,3808,3810,2684,-6.6204,107.5298
Taringgul Tengah,3446,3215,3214,3848,3211,3211,3211,3569,3508,3826,3830,3533,-6.6103,107.5239
